,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11849,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",21000000.0,19799115.0,19799115.0,False,,1,,,,2024-12-21T11:38:00.000Z,98182.14153681044,80379776036.86739,-26.8724,0.03055755,5.24432312,-3.35859281,0.33507412,45.76211219,56.23923807,1943919511233.5864,57.2427,2061824972273.02,,2024-12-21T11:38:00.000Z,,,,,,2024-12-21 14:40:22.472546
1,1027,Ethereum,ETH,ethereum,9710,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120453570.82352062,120453570.82352062,True,,2,,,,2024-12-21T11:39:00.000Z,3448.353069240554,46702309635.675766,-33.0663,-0.44323637,10.0870133,-11.62754502,9.78092101,30.87030844,33.38487109,415366440650.2717,12.2081,415366440650.27,,2024-12-21T11:39:00.000Z,,,,,,2024-12-21 14:40:22.472546
2,825,Tether USDt,USDT,tether,109566,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,139872815646.93893,143440125287.04865,True,,3,,,,2024-12-21T11:39:00.000Z,0.9997957203871105,201593524124.52835,-24.6047,-0.00011446,0.11273095,-0.01586338,-0.02102384,0.05529192,-0.05358042,139844242482.3048,4.1102,143410823393.78,,2024-12-21T11:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-12-21 14:40:22.472546
3,52,XRP,XRP,xrp,1485,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",100000000000.0,57252380420.0,99986807248.0,False,,4,,,,2024-12-21T11:39:00.000Z,2.297565752292148,21713648166.164444,-10.8807,-1.09583191,15.18782266,-5.52155902,106.5957758,329.65181592,287.15442423,131541108490.19356,3.8662,229756575229.21,,2024-12-21T11:39:00.000Z,,,,,,2024-12-21 14:40:22.472546
4,1839,BNB,BNB,bnb,2314,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144007752.79,144007752.79,False,,5,,,,2024-12-21T11:39:00.000Z,676.8713169702079,2484206373.3169937,-18.6595,-0.66134637,8.67313661,-6.11584487,11.13131601,13.86031538,16.12177136,97474717284.88742,2.8645,97474717284.89,,2024-12-21T11:39:00.000Z,,,,,,2024-12-21 14:40:22.472546
5,5426,Solana,SOL,solana,813,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,479246800.40701795,590503085.5915459,True,,6,,,,2024-12-21T11:39:00.000Z,193.08138602522408,6601551109.459396,-34.2384,-0.9781882,8.50704057,-14.16608228,-20.11575195,14.59102856,33.2058931,92533636470.74095,2.7197,114015154218.19,,2024-12-21T11:39:00.000Z,,,,,,2024-12-21 14:40:22.472546
6,74,Dogecoin,DOGE,dogecoin,1130,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,147291446383.70526,147291446383.70526,True,,7,,,,2024-12-21T11:39:00.000Z,0.3351696653566498,9702745191.42581,-17.3422,-1.32707265,24.80728955,-17.63626643,-12.0407835,134.13500221,213.30678693,49367624794.323425,1.451,49367624794.32,,2024-12-21T11:39:00.000Z,,,,,,2024-12-21 14:40:22.472546
7,3408,USDC,USDC,usd-coin,24055,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,42854056614.38153,42854056614.38153,False,,8,,,,2024-12-21T11:39:00.000Z,1.0000980739283134,11189345098.886717,-31.9285,0.00902222,0.00744707,0.01747188,0.02227279,0.02991499,-0.01800478,42858259480.05787,1.2597,42858259480.06,,2024-12-21T11:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-12-21 14:40:22.472546
8,2010,Cardano,ADA,cardano,1418,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season']",45000000000.0,35126169612.19378,44995107818.69111,False,,9,,,,2024-12-21T11:39:00.000Z,0.9595242190552997,2232333731.6904655,-15.2102,-1.46356057,22.30380194,-12.81649598,22.00450577,164.81859669,172.12049816,33704410465.544235,0.9906,43178589857.49,,2024-12-21T11:39:00.000Z,,,,,,2024-12-21 14:40:22.472546
9,1958,TRON,TRX,tron,1086,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season']",,86218994518.83397,86219009590.3785,True,,10,,,,2024-12-21T11:38:00.000Z,0.2510912761901794,1518951747.1143537,-34.81,-0.42091126,10.27867215,-14.77856528,26.32246593,57.38849937,65.78905798,21648837365.568104,0.6375,21648841149.9,,2024-12-21T11:38:00.000Z,,,,,,2024-12-21 14:40:22.472546
